pregunta,opcion1,opcion2,opcion3,opcion4,respuesta_correcta,categoria,dificultad,puntaje
¿Qué hace 'input()' en Python?,Muestra texto,Recibe datos del usuario,Calcula valores,Finaliza el programa,2,Programación,Medio,20
¿Cómo se declara una función en Python?,func,function,def,method,3,Programación,Medio,20
¿Qué estructura permite almacenar pares clave-valor?,Lista,Tupla,Diccionario,Set,3,Programación,Medio,20
¿En qué deporte compitió Serena Williams?,Golf,Tenis,Atletismo,Natación,2,Deportes,Medio,20
¿Qué país ganó más mundiales de fútbol?,Alemania,Argentina,Italia,Brasil,4,Deportes,Medio,20
¿Dónde se jugaron los Juegos Olímpicos 2008?,Londres,Pekín,Atenas,Sídney,2,Deportes,Medio,20
¿Quién es considerado el mejor basquetbolista de todos los tiempos?,LeBron James,Kobe Bryant,Michael Jordan,Shaquille O'Neal,3,Deportes,Medio,20
¿Qué país inventó el judo?,China,Corea,Japón,Tailandia,3,Deportes,Medio,20
¿Qué rey francés fue ejecutado en la Revolución?,Luis XIV,Luis XVI,Carlos X,Napoleón,2,Historia,Difícil,30
¿Qué tratado dividió América entre España y Portugal?,Versalles,Tordesillas,Utrecht,Londres,2,Historia,Difícil,30
¿Quién fue el primer faraón de Egipto?,Ramsés,Tutankamón,Narmer,Cleopatra,3,Historia,Difícil,30
¿Qué civilización creó el sistema sexagesimal?,Egipcia,Griega,Romana,Sumeria,4,Historia,Difícil,30
¿Qué guerra duró más de 100 años?,Guerra de Troya,Guerra de los Cien Años,Guerra de Crimea,Guerra Civil Española,2,Historia,Difícil,30
¿Qué es un decorador en Python?,Un estilo visual,Una función que modifica otra función,Un error,Una librería,2,Programación,Difícil,30
¿Qué hace el operador 'is' en Python?,Compara valores,Asigna variables,Compara identidad,Suma,3,Programación,Difícil,30
¿Qué estructura es inmutable?,Lista,Tupla,Set,Diccionario,2,Programación,Difícil,30
¿Qué biblioteca se usa para ciencia de datos en Python?,pygame,pandas,flask,turtle,2,Programación,Difícil,30
¿Qué método agrega elementos a una lista?,add(),insert(),append(),put(),3,Programación,Difícil,30
¿Quién ganó el Mundial de Rugby 2019?,Australia,Sudáfrica,Nueva Zelanda,Inglaterra,2,Deportes,Difícil,30
¿En qué ciudad se celebraron los JJ.OO. de 1968?,Roma,Tokio,México,Múnich,3,Deportes,Difícil,30
¿Qué país tiene más medallas olímpicas?,EE.UU.,China,URSS,Alemania,1,Deportes,Difícil,30
¿Qué futbolista tiene más goles oficiales?,Pelé,Cristiano Ronaldo,Messi,Romario,2,Deportes,Difícil,30
¿Cuál fue el primer equipo campeón del Mundial?,Italia,Uruguay,Argentina,Brasil,2,Deportes,Difícil,30
